标题,作者,期刊,年份,干预措施数量,联合措施类型,主穴1,主穴2,主穴3,主穴4,主穴5,主穴6,主穴7,主穴8,主穴9,主穴10,主穴11
耳穴压豆中医护理在高血压病患者中的应用效果观察,唐科毅,中医临床研究,2017,1,无,降压点,降压沟,神门,心,肾,肝,交感,皮质下,,,
中医耳穴治疗对原发性高血压并发焦虑患者的影响,沈建锋,中国妇幼健康研究,2017,1,无,神门,心,肝,肾,,,,,,,
耳穴贴压治疗老年高血压合并焦虑症状30例临床观察,刘振,河北中医,2017,1,无,交感,神门,肝,肾,,,,,,,
耳穴压豆对痰湿质高血压患者的干预研究,廖建堂,中国实用医药,2017,1,无,降压沟,神门,心,肝,脾,肾,,,,,
耳穴埋籽法治疗肝阳上亢型高血压伴失眠症临床观察,李晓露,中西医结合护理（中英文）,2017,1,无,心,交感,神门,皮质下,肝,,,,,,
耳穴压豆联合氟哌噻吨美利曲辛片治疗老年高血压合并轻中度抑郁患者的效果分析,何逸,中国当代医药,2017,1,无,心,肾,神门,交感,,,,,,,
耳穴贴压疗法对轻中度高血压患者的临床观察,董巧稚,环球中医药,2017,1,无,神门,降压沟,皮质下,,,,,,,,
耳穴贴压配合降压药物治疗1级高血压病的临床效果,董巧稚,中国医药导报,2017,1,无,神门,降压沟,皮质下,,,,,,,,
中医综合护理干预对肝阳上亢型高血压的影响,陈红,内蒙古中医药,2017,2,穴位贴敷,神门,心,肝,皮质下,,,,,,,
耳穴压籽对原发性高血压病患者血压的影响,周鑫,河南中医,2016,1,无,交感,降压沟,皮质下,神门,肾,,,,,,
耳穴贴压配合福辛普利对原发性H型高血压患者血压及同型半胱氨酸的干预作用,钟乔英,临床医学工程,2016,1,无,神门,内分泌,皮质下,脾,三焦,交感,肝,降压沟,肾,饥点,
耳穴压豆辅助治疗眩晕病(原发性高血压)的疗效观察,郑同莉,中国社区医师,2016,1,无,神门,交感,降压沟,心,肝,肾,内分泌,,,,
耳穴压豆治疗原发性高血压伴失眠症的临床效果观察,张丽丽,中医临床研究,2016,1,无,肝,肾,心,胃,脾,,,,,,
中医护理干预对脑卒中伴高血压患者血压的影响,袁迎春,中医临床研究,2016,2,穴位按摩,肾上腺,神门,降压沟,皮质下,内分泌,交感,,,,,
中药足浴联合耳穴压豆治疗1级高血压60例,吴山永,浙江中医杂志,2016,2,中药足浴,交感,皮质下,降压沟,肾上腺,内分泌,神门,交感,内分泌,心,耳尖,
耳穴贴压法对高血压病患者的血压变异性及血管紧张素II影响,吴华慧,中国保健营养,2016,1,无,皮质下,交感,内分泌,神门,降压沟,,,,,,
耳穴压豆疗法对不同证型原发性高血压即时降压疗效比较,魏思宁,山东中医杂志,2016,1,无,肝,肾,降压点,降压沟,耳尖,,,,,,
中药足浴联合耳穴压豆治疗高血压临床疗效观察,王小辉,实用中西医结合临床,2016,2,中药足浴,肾上腺,降压沟,内分泌,肾,,,,,,,
耳穴压籽治疗原发性高血压伴失眠症的临床观察,王博,中西医结合心血管病电子杂志,2016,1,无,皮质下,交感,神门,降压点,,,,,,,
耳穴压豆联合补中汤加味治疗老年原发性高血压的效果观察,田亚振,临床研究,2016,2,中药汤剂,神门,降压沟,内分泌,脾,胃,皮质下,,,,,
耳穴贴压联合降压药物用于高血压治疗的临床价值,孙阳,内蒙古中医药,2016,1,无,降压沟,,,,,,,,,,
中药口服配合耳穴贴压治疗高血压病62例,庞万华,中国民间疗法,2016,2,中药汤剂,神门,交感,降压沟,皮质下,心,肝,内分泌,,,,
耳穴贴压配合穴位按摩应用于原发性高血压患者的效果观察,龙艳兰,当代护士：下旬刊,2016,2,穴位按摩,神门,皮质下,降压沟,交感,高血压点,三焦,,,,,
耳穴埋籽治疗高血压眩晕的效果观察,刘茜茜,当代护士：下旬刊,2016,1,无,神门,降压沟,皮质下,内分泌,交感,,,,,,
耳穴辨证配合穴位磁贴治疗社区轻度高血压的临床研究,刘春燕,辽宁中医杂志,2016,2,穴位按摩,降压沟,皮质下,降压点,神门,,,,,,,
痰湿质高血压病患者实施耳穴压豆的护理干预,李买容,护理实践与研究,2016,1,无,降压沟,神门,交感,,,,,,,,
耳穴埋豆联合八段锦养生操对眩晕病(高血压)护理疗效的观察,赖有莲,心血管病防治知识：学术版,2016,2,养生操,额,颞,枕,肾,神门,,,,,,
耳穴贴压结合穴位按摩在原发性高血压患者中的运用效果探讨,冀沙沙,中国现代药物应用,2016,2,穴位按摩,降压沟,交感,神门,心,对屏尖,肝,肾,,,,
耳穴按压与中药药茶综合干预治疗对高血压患者的降压疗效及其对治疗的满意度评价,黄斯曼,抗感染药学,2016,2,中药汤剂,肾,降压沟,肝,,,,,,,,
耳穴贴压加穴位敷贴辅助治疗社区原发性高血压临床研究,费里,社区医学杂志,2016,2,穴位贴敷,降压沟,皮质下,神门,,,,,,,,
耳穴贴压联合穴位敷贴在社区高血压患者中的应用,费里,医学信息(西安),2016,2,穴位贴敷,降压沟,皮质下,神门,,,,,,,,
耳穴压豆中医护理在高血压病患者中的应用效果观察,崔璨,淮海医药,2016,1,无,降压点,降压沟,神门,内分泌,脑,肾,,,,,
耳穴压豆辅助治疗腔隙性脑梗死合并高血压病的疗效观察,陈晓茶,广西中医药大学学报,2016,1,无,降压沟,神门,脑,内分泌,,,,,,,
耳穴压贴联合中药足浴对原发性高血压并发焦虑患者负性情绪、血压及心率的影响,陈娴,临床护理杂志,2016,2,中药足浴,三焦,肝,神门,肾,心,,,,,,
耳穴磁珠贴压治疗早期原发性高血压效果观察,陈瑾,中国乡村医药,2016,1,无,神门,心,肾,肝,交感,降压沟,皮质下,降压点,,,
耳穴贴压配合中医护理治疗顽固性高血压疗效观察,陈富玲,中医临床研究,2016,2,中医护理,降压点,耳尖,肝,肾,内分泌,肾上腺,心,神门,,,
耳穴埋豆加中药泡脚对原发性高血压患者的血压及症候的影响,曹胜兰,实用临床医药杂志,2016,2,中药足浴,神门,皮质下,降压沟,高血压点,三焦,交感,,,,,
耳穴贴压联合艾灸辅助治疗痰湿中阻型高血压病疗效观察,张秀娟,内蒙古中医药,2015,2,艾灸,脾,三焦,肝,神门,心,降压沟,肾上腺,,,,
推拿桥弓穴配合耳穴贴压辅助治疗原发性高血压效果,张丽,中国乡村医药,2015,2,推拿,降压沟,肝,肾,,,,,,,,
耳穴贴压对高血压患者高压氧治疗中的降压效果观察,于志红,国际医药卫生导报,2015,1,无,降压沟,降压点,肝,肾,神门,肾上腺,交感,,,,
针刺联合耳穴贴压治疗原发性高血压:随机对照研究,杨晓琳,中国针灸,2015,2,针刺,神门,心,降压沟,交感,,,,,,,
中药配合耳压对高血压患者的疗效观察,杨硕,辽宁中医杂志,2015,2,中药汤剂,神门,肝,肾,心,降压沟,耳尖,交感,,,,
耳穴埋豆结合中医健康干预治疗高血压病疗效观察,徐珊珊,中医药导报,2015,2,中医护理,降压沟,降压点,肝,皮质下,高血压点,,,,,,
耳穴磁疗治疗不同中医证型之高血压病,孙桂萍,辽宁中医杂志,2015,1,无,心,肝,肾,交感,耳尖,降压沟,降压点,,,,
耳穴埋豆辅助治疗Ⅱ级原发性高血压病40例,司绍娥,江西中医药大学学报,2015,1,无,降压沟,神门,交感,耳尖,降压沟,,,,,,
耳穴压豆对中老年高血压患者血压及睡眠质量的影响,尚淑梅,现代临床护理,2015,1,无,降压沟,神门,心,内分泌,皮质下,交感,,,,,
坎地沙坦酯联合耳穴压豆对非杓型高血压病患者的疗效观察,曲玉梅,中国继续医学教育,2015,1,无,皮质下,内分泌,神门,降压沟,交感,,,,,,
耳压联合温灸治疗高血压病临床研究,戚相芝,河北医学,2015,2,艾灸,心,肝,肾,降压沟,,,,,,,
头面部按摩配合耳穴贴压对原发性高血压患者血压水平的影响,彭英,现代中西医结合杂志,2015,2,头面部按摩,交感,神门,皮质下,降压沟,高血压点,肝,,,,,
中药茶及耳穴疗法在社区高血压综合干预中的效果研究,孟丽,内蒙古中医药,2015,2,中药汤剂,肝,肾,降压沟,交感,,,,,,,
肝火亢盛型高血压病患者使用耳穴压豆的效果观察,刘银波,解放军护理杂志,2015,1,无,心,肝,肾,神门,交感,降压沟,,,,,
降压敷贴联合耳穴埋豆治疗原发性高血压,刘杨,长春中医药大学学报,2015,2,穴位贴敷,降压沟,肝,心,肾,皮质下,,,,,,
耳穴贴压联合硝苯地平缓释片治疗原发性高血压的疗效观察,刘晓艳,医学信息(西安),2015,1,无,降压沟,神门,交感,对屏尖,心,,,,,,
脑卒中后高血压患者耳穴埋豆的干预研究,李慧芬,当代医学,2015,1,无,降压点,神门,心,皮质下,肝,,,,,,
中医耳穴对原发性高血压并发焦虑患者的治疗影响探究,黄爱民,中国初级卫生保健,2015,1,无,神门,心,肝,三焦,肾,,,,,,
耳穴贴压疗法治疗原发性高血压并发焦虑效果观察,赫小龙,中国乡村医药,2015,1,无,神门,心,肝,三焦,肾,,,,,,
耳穴压籽联合中药足浴对原发性高血压并发焦虑患者的影响,韩艳秋,齐齐哈尔医学院学报,2015,2,中药足浴,神门,皮质下,肝,肾,,,,,,,
中药穴位贴敷联合耳穴压豆治疗高血压失眠94例,郭秀媚,中国中医药科技,2015,2,穴位贴敷,心,神门,交感,皮质下,肝,肾,脾,枕,,,
耳穴贴压联合足三里按压对高血压患者血压、血脂的影响,郭华芳,上海针灸杂志,2015,2,穴位按摩,交感,肾,脾,皮质下,耳尖,降压沟,,,,,
耳穴埋豆法治疗高血压病的疗效观察及护理体会,董彦平,新疆中医药,2015,1,无,神门,降压沟,皮质下,内分泌,三焦,交感,,,,,
耳穴压豆与降压操对高血压病患者血压的影响,丁劲,医学信息(西安),2015,2,降压操,耳尖,神门,肾上腺,交感,心,肝,肾,皮质下,降压沟,,
循证护理在老年高血压失眠患者中的应用,陈小玲,福建医药杂志,2015,2,穴位按摩,神门,心,肾,皮质下,垂前,,,,,,
耳穴压豆对高血压合并冠心病的影响,陈琼,母婴世界,2015,1,无,心,肾,交感,降压沟,,,,,,,
天麻钩藤饮配合耳穴压丸治疗肝阳上亢型高血压30例临床疗效观察,陈浪,医学信息,2015,2,中药汤剂,降压沟,交感,肾上腺,,,,,,,,
耳穴结合耳尖放血治疗早期高血压病57例疗效观察,周静月,浙江中医杂志,2014,2,耳尖放血,耳迷根,内分泌,降压点,降压沟,神门,,,,,,
耳穴(降压沟)压豆治疗高血压病60例,周红芳,中国中医药现代远程教育,2014,1,无,降压沟,,,,,,,,,,
耳穴埋豆和涌泉穴按摩对原发性高血压的疗效及其护理干预,赵吉华,中华全科医学,2014,2,穴位按摩,三焦,神门,心,肝,交感,肾,皮质下,,,,
耳穴埋籽治疗高血压病临床观察,张晓敏,海峡药学,2014,1,无,降压沟,交感,神门,,,,,,,,
中医耳穴贴压与针灸技术治疗社区老年原发性高血压的疗效观察,叶建林,中医临床研究,2014,2,针灸,降压沟,,,,,,,,,,
耳穴贴压配合低盐饮护理在高血压患者中的应用观察,杨文军,北方药学,2014,2,低盐饮食,神门,心,肝,肾,高血压点,降压沟,内分泌,皮质下,,,
中医护理在骨科合并高血压患者中的应用效果,杨丽珺,中华现代护理杂志,2014,2,穴位贴敷,心,神门,内分泌,肝,肾,,,,,,
耳穴贴压法治疗原发性高血压(痰湿壅盛证)临床观察,王玲,中国中医急症,2014,1,无,降压沟,神门,高血压点,降压点,内分泌,脾,胃,肺,,,
耳穴贴压法治疗原发性高血压临床观察,王玲,中医药学报,2014,1,无,降压沟,神门,高血压点,降压点,内分泌,肝,胆,肾,,,
耳穴疗法治疗高血压病即时疗效的观察,王黎明,湖北中医杂志,2014,1,无,心,肝,肾,神门,降压沟,,,,,,
耳穴辨证配合涌泉穴位磁贴治疗轻中度高血压疗效评价,王剑波,中国中医药信息杂志,2014,2,穴位贴敷,降压沟,皮质下,降压点,神门,,,,,,,
社区高血压中医药综合干预分组管理的疗效观察,石凤,中医临床研究,2014,2,中药汤剂,降压沟,神门,交感,,,,,,,,
耳穴压豆对高血压I期患者的降压效果观察,阮婷慧,健康导报·医学版,2014,1,无,肝,心,降压沟,枕,脑,,,,,,
使用耳穴埋豆法联合氨氯地平治疗高血压伴睡眠障碍的效果观察,乔建峰,当代医药论丛,2014,1,无,肝,肾,交感,神门,皮质下,降压沟,,,,,
耳穴埋豆法在老年1级高血压患者治疗中的应用,刘家华,中医药临床杂志,2014,1,无,神门,皮质下,降压沟,高血压点,三焦,交感,,,,,
耳穴贴压配合低盐饮食护理在高血压患者中的应用观察,梁艳翠,四川中医,2014,2,低盐饮食,神门,心,肝,肾,高血压点,降压沟,内分泌,皮质下,,,
耳穴压豆合中医护理治疗高血压病43例疗效观察,郭璇,湖南中医杂志,2014,1,无,耳尖,降压沟,交感,,,,,,,,
耳疗联合自我管理对99例高血压病患者的影响,陈静薇,南京中医药大学学报,2014,1,无,耳迷根,内分泌,降压沟,,,,,,,,
王不留行耳穴贴压法对原发性高血压患者的效果评价,曹慧,临床医学工程,2014,1,无,心,肾,神门,降压沟,,,,,,,
耳穴贴压法辅助硝苯地平缓释片治疗高血压病的效果观察,周玉峰,医学理论与实践,2013,1,无,神门,降压沟,皮质下,交感,内分泌,,,,,,
耳穴压豆治疗顽固性高血压60例临床观察,张庆,医学信息,2013,1,无,降压沟,降压点,交感,神门,心,肝,肾,,,,
耳穴贴压配合降压操治疗老年高血压临床观察,袁旻健,上海针灸杂志,2013,2,降压操,降压沟,,,,,,,,,,
耳穴压豆法治疗老年高血压病临床研究,吴丽妍,河南中医,2013,1,无,降压沟,肾上腺,交感,皮质下,内分泌,神门,肾,肝,,,
耳穴压籽联合穴位贴敷对高血压患者血压的影响,魏金金,齐鲁护理杂志,2013,2,穴位贴敷,降压点,神门,心,降压沟,耳尖,,,,,,
天麻钩藤饮加减联合耳穴埋豆治疗肝阳上亢型高血压病68例,盛和静,浙江中医杂志,2013,2,中药汤剂,交感,肾,脾,皮质下,耳尖,降压沟,,,,,
穴位按摩及耳穴贴压应用于高血压患者的效果评价,林红霞,中国实用护理杂志,2013,2,穴位按摩,神门,皮质下,降压沟,高血压点,三焦,交感,,,,,
耳穴压籽对原发性高血压病患者血压影响的临床研究,皇甫海全,中医药学报,2013,1,无,降压点,降压沟,交感,神门,内分泌,,,,,,
耳穴贴压法治疗高血压病疗效观察,周亚滨,中国中医急症,2012,1,无,神门,降压沟,皮质下,交感,内分泌,,,,,,
耳穴疗法在原发性高血压并发抑郁中的疗效观察,郑求姣,浙江中医药大学学报,2012,1,无,神门,心,肝,三焦,,,,,,,
耳穴埋豆治疗原发性高血压疗效观察,张秀丽,中国中医药现代远程教育,2012,1,无,神门,肝,降压沟,,,,,,,,
耳穴贴压治疗高血压合并高脂血症的临床研究,夏飞,中国医药指南,2012,1,无,高血压点,神门,交感,内分泌,脑干,降压点,脾,胃,,,
耳穴压豆按摩在改善骨科患者术前高血压状况中的应用,任华,齐鲁护理杂志,2012,1,无,降压沟,降压点,肝,肾,神门,肾上腺,交感,,,,
耳穴压豆疗法治疗高血压100例疗效观察,李婷,云南中医中药杂志,2012,1,无,心,肾,交感,降压沟,,,,,,,
耳穴贴压与按摩对高血压即时降压效应的对比观察,李成成,上海针灸杂志,2012,1,无,降压点,降压沟,,,,,,,,,
耳穴压豆联合硝苯地平控释片治疗轻度高血压的临床观察,纪平,中国保健营养：下半月,2012,1,无,心,肝,肾,降压沟,高血压点,降压点,神门,皮质下,内分泌,肾上腺,交感
高血压病中药茶及耳穴疗法社区综合干预研究,周东梅,辽宁中医杂志,2011,2,中药汤剂,肝,肾,神门,降压沟,交感,皮质下,,,,,
耳穴贴压降压沟、三焦、肝区对血压变异的影响,张慧,陕西中医,2011,1,无,降压沟,三焦,肝,,,,,,,,
耳穴贴压王不留行籽对原发性高血压的治疗作用以及对患者血浆生化值的影响,杨信才,辽宁中医杂志,2011,1,无,神门,降压沟,交感,对屏尖,心,,,,,,
中医耳穴治疗对原发性高血压并发焦虑患者的影响,徐晓春,中华护理杂志,2011,1,无,神门,心,肝,肾,三焦,,,,,,
耳穴压豆对高血压I期患者的降压效果观察,李萍,中医临床研究,2011,1,无,降压沟,,,,,,,,,,
耳压法配合心理护理干预1级高血压的疗效观察,王美芝,中国社区医师(医学专业),2010,2,心理干预,肝,肾,心,降压沟,皮质下,神门,交感,,,,
耳穴贴压治疗原发性高血压100例,罗继红,中医研究,2010,1,无,降压沟,高血压点,神门,耳迷根,内分泌,脑点,脑干,降压点,,,
耳穴贴压法治疗原发性高血压临床观察,杨信才,山西中医,2009,1,无,降压沟,神门,交感,对屏尖,心,肝,脾,肾,,,
卡托普利氢氯噻嗪联合耳穴按压治疗高血压病,余德奎,广东医学,2006,1,无,心,交感,肾,肝,皮质下,耳尖,降压沟,,,,
耳穴贴压治疗原发性高血压100例,匡海茜,潍坊医学院学报,2004,1,无,心,降压沟,肝,皮质下,枕,额,颞,内分泌,神门,,
药物结合电针及耳穴贴压磁珠治疗高血压病患者的临床观察,胡丽华,中华物理医学与康复杂志,2004,2,电针,降压沟,心,肾,肝,神门,,,,,,
耳穴按压配合针刺治疗高血压84例,左国新,中国社区医师,2002,2,针刺,耳尖,心,降压沟,神门,,,,,,,
耳穴贴压治疗原发性高血压51例临床观察,杜桂琴,天津中医学院学报,2002,1,无,降压沟,降压点,神门,心,肝,肾,,,,,
耳穴压豆配合生活调护对中青年高血压的影响,孙娜,齐鲁护理杂志,2000,1,无,降压沟,心,神门,肾上腺,,,,,,,
耳尖放血合耳穴贴压治疗高血压病,刘幸娟,湖北中医杂志,2000,2,耳尖放血,神门,降压点,降压沟,肝,肾,心,枕,皮质下,,,
耳穴贴压治疗高血压病30例疗效分析,王泳,针灸临床杂志,1999,1,无,交感,肾,脾,皮质下,耳尖,降压沟,,,,,
耳穴贴压对高血压病患者心血管功能的影响,邱春复,上海针灸杂志,1997,1,无,心,肝,肾,神门,降压沟,,,,,,
针刺配合耳穴贴压治疗高血压36例临床观察,王梅康,甘肃中医,1996,2,针刺,肝,肾,,,,,,,,,
高血压病患者心血管功能的特点及其在耳穴贴压治疗时的改变,邱春复,赣南医学院学报,1996,1,无,神门,心,肝,肾,降压沟,,,,,,
贴压耳廓敏感点治疗高血压的疗效观察,魏建平,针灸临床杂志,1995,1,无,心,神门,肝,肾,降压沟,交感,皮质下,脑,,,
耳穴贴压治疗高血压135例降压效应的动态观察,周荣兴,上海针灸杂志,1993,1,无,神门,交感,肝,心,皮质下,降压沟,,,,,
按压耳穴的降压效应-附274例临床资料分析,周荣兴,中医杂志,1990,1,无,神门,交感,肝,心,脾,肾,耳尖,皮质下,降压沟,轮,
耳穴压籽法治疗原发性高血压病100例临床观察,于澎,黑龙江中医药,1988,1,无,降压沟,降压点,神门,内分泌,脑,肾,,,,,
Effects of the traditional Chinese auricular point therapy combined with relaxation training on patients with hypertension and anxiety,"Li, Liying",Biomedical Research-India,2017,2,放松训练,神门,心,肝,三焦,肾,,,,,,
